,contestant_name,num_idols_possessed,social_score,strategy_score,challenge_wins_per_day_lasted,confessionals_per_epi
0,Ben,0,7,7,0.36363636363636365,3.6
1,Charlie,0,9,8,0.36363636363636365,4.8
2,Hunter,0,7,8,0.6363636363636364,3.2
3,Kenzie,0,6,4,0.18181818181818182,6.4
4,Liz,0,4,4,0.6363636363636364,2.0
5,Maria,0,8,7,0.36363636363636365,2.2
6,Moriah,0,4,4,0.36363636363636365,2.4
7,Q,0,8,8,0.18181818181818182,5.0
8,Soda,0,4,5,0.6363636363636364,2.4
9,Tevin,0,8,7,0.6363636363636364,2.8
10,Tiff,1,8,7,0.18181818181818182,6.2
11,Tim,0,4,5,0.36363636363636365,2.0
12,Venus,0,1,3,0.6363636363636364,2.8
